ID,Date,Symbol,Open,High,Low,Close,Volume,Market Cap,Year,Month,Day,DayOfWeek
870,2017-12-24,ETH,721.77,721.77,614.92,694.15,2300549888.0,69671215104.0,2017,12,12,6
871,2017-12-25,ETH,698.87,782.52,698.87,765.83,2491760128.0,67475095552.0,2017,12,12,0
872,2017-12-26,ETH,763.37,786.79,760.93,773.84,2201159936.0,73717784576.0,2017,12,12,1
873,2017-12-27,ETH,774.97,789.25,738.41,762.84,2100029952.0,74854146048.0,2017,12,12,2
874,2017-12-28,ETH,762.21,763.32,701.19,737.02,2389149952.0,73637076992.0,2017,12,12,3
875,2017-12-29,ETH,740.39,770.12,729.61,753.59,2648969984.0,71544307712.0,2017,12,12,4
876,2017-12-30,ETH,753.82,753.82,685.23,717.26,3187780096.0,72856870912.0,2017,12,12,5
877,2017-12-31,ETH,712.21,760.35,710.12,756.73,2554269952.0,68850778112.0,2017,12,12,6
878,2018-01-01,ETH,755.76,782.53,742.0,772.64,2595760128.0,73075769344.0,2018,1,1,0
879,2018-01-02,ETH,772.35,914.83,772.35,884.44,5783349760.0,74695671808.0,2018,1,1,1
880,2018-01-03,ETH,886.0,974.47,868.45,962.72,5093159936.0,85703540736.0,2018,1,1,2
881,2018-01-04,ETH,961.71,1045.08,946.09,980.92,6502859776.0,93049372672.0,2018,1,1,3
882,2018-01-05,ETH,975.75,1075.39,956.33,997.72,6683149824.0,94423851008.0,2018,1,1,4
883,2018-01-06,ETH,995.15,1060.71,994.62,1041.68,4662219776.0,96326549504.0,2018,1,1,5
884,2018-01-07,ETH,1043.01,1153.17,1043.01,1153.17,5569880064.0,100981178368.0,2018,1,1,6
885,2018-01-08,ETH,1158.26,1266.93,1016.05,1148.53,8450970112.0,112163954688.0,2018,1,1,0
886,2018-01-09,ETH,1146.0,1320.98,1145.49,1299.74,7965459968.0,110999126016.0,2018,1,1,1
887,2018-01-10,ETH,1300.34,1417.38,1226.6,1255.82,9214950400.0,125975928832.0,2018,1,1,2
888,2018-01-11,ETH,1268.09,1337.3,1135.17,1154.93,7235899904.0,122878590976.0,2018,1,1,3
889,2018-01-12,ETH,1158.29,1296.04,1120.09,1273.2,5222300160.0,112263086080.0,2018,1,1,4
890,2018-01-13,ETH,1270.47,1432.88,1270.47,1396.42,5746760192.0,123162533888.0,2018,1,1,5
891,2018-01-14,ETH,1397.48,1400.56,1286.21,1366.77,4841630208.0,135503314944.0,2018,1,1,6
892,2018-01-15,ETH,1365.21,1390.59,1290.6,1291.92,4781100032.0,132403560448.0,2018,1,1,0
893,2018-01-16,ETH,1292.63,1292.63,875.54,1053.69,8405139968.0,125388570624.0,2018,1,1,1
894,2018-01-17,ETH,1061.34,1090.23,780.92,1014.25,8545160192.0,102973726720.0,2018,1,1,2
895,2018-01-18,ETH,1016.44,1100.31,967.76,1036.28,5938319872.0,98642083840.0,2018,1,1,3
896,2018-01-19,ETH,1028.82,1093.22,1003.71,1039.1,4084450048.0,99863855104.0,2018,1,1,4
897,2018-01-20,ETH,1044.95,1167.11,1044.95,1155.15,3975190016.0,101450956800.0,2018,1,1,5
898,2018-01-21,ETH,1155.68,1155.68,1021.5,1049.58,3378089984.0,112225746944.0,2018,1,1,6
899,2018-01-22,ETH,1055.35,1089.1,930.74,1003.26,3810099968.0,102504308736.0,2018,1,1,0
900,2018-01-23,ETH,1004.17,1023.23,920.54,986.23,3556699904.0,97554251776.0,2018,1,1,1
901,2018-01-24,ETH,987.48,1062.44,965.81,1058.78,3944039936.0,95952658432.0,2018,1,1,2
902,2018-01-25,ETH,1063.22,1104.66,1034.74,1056.03,4050190080.0,103334617088.0,2018,1,1,3
903,2018-01-26,ETH,1052.7,1080.6,996.78,1055.17,3617690112.0,102333644800.0,2018,1,1,4
904,2018-01-27,ETH,1055.75,1121.98,1042.12,1107.07,3002870016.0,102651150336.0,2018,1,1,5
905,2018-01-28,ETH,1111.78,1257.77,1111.78,1246.01,5372329984.0,108121956352.0,2018,1,1,6
906,2018-01-29,ETH,1246.7,1256.7,1169.08,1182.36,3715079936.0,121268518912.0,2018,1,1,0
907,2018-01-30,ETH,1184.13,1184.63,1058.97,1071.13,4107859968.0,115206995968.0,2018,1,1,1
908,2018-01-31,ETH,1071.09,1128.66,1034.5,1118.31,3757560064.0,104230846464.0,2018,1,1,2
909,2018-02-01,ETH,1119.37,1161.35,984.82,1036.79,5261680128.0,108952059904.0,2018,2,2,3
910,2018-02-02,ETH,1035.77,1035.77,757.98,915.78,6713290240.0,100835745792.0,2018,2,2,4
911,2018-02-03,ETH,919.21,991.94,847.69,964.02,3243480064.0,89507553280.0,2018,2,2,5
912,2018-02-04,ETH,964.67,969.03,805.06,834.68,2997090048.0,93953425408.0,2018,2,2,6
913,2018-02-05,ETH,834.96,856.65,644.6,697.95,4269530112.0,81337360384.0,2018,2,2,0
914,2018-02-06,ETH,707.74,796.44,574.42,793.12,6518269952.0,68958748672.0,2018,2,2,1
915,2018-02-07,ETH,790.43,851.2,723.43,757.07,3896179968.0,77031956480.0,2018,2,2,2
916,2018-02-08,ETH,755.84,845.09,755.84,817.81,3708189952.0,73676865536.0,2018,2,2,3
917,2018-02-09,ETH,818.48,884.0,788.83,883.86,2495820032.0,79799255040.0,2018,2,2,4
918,2018-02-10,ETH,882.47,917.4,825.58,860.41,2930530048.0,86055600128.0,2018,2,2,5
919,2018-02-11,ETH,859.29,859.29,788.22,814.66,2486650112.0,83813031936.0,2018,2,2,6
920,2018-02-12,ETH,817.51,875.94,817.51,868.71,2243450112.0,79754362880.0,2018,2,2,0
921,2018-02-13,ETH,869.29,870.71,828.84,845.26,2081170048.0,84824178688.0,2018,2,2,1
